id_cliente,monto,fecha,id,nombre,ciudad
99.0,192.31,2023-04-17,99,Maria,Tijuana
51.0,303.0,2021-01-07,51,Laura,Desconocida
100.0,671.75,2023-04-24,100,Elena,Querétaro
28.0,49.53,2021-10-01,28,Laura,Tijuana
66.0,602.77,2022-04-20,66,Luis,Desconocida
22.0,66.01,2021-04-08,22,Ana,CDMX
44.0,715.21,2022-08-20,44,Elena,León
76.0,577.04,2020-09-04,76,Miguel,Guadalajara
95.0,,2021-08-13,95,Sofia,Guadalajara
83.0,111.43,2022-11-17,83,Carlos,Querétaro
32.0,687.46,2020-11-28,32,Sin nombre,Tijuana
2.0,378.81,2020-02-02,2,Miguel,Puebla
100.0,743.75,2020-08-30,100,Elena,Querétaro
38.0,668.06,2021-04-24,38,Sofia,CDMX
7.0,327.11,2022-08-24,7,Pedro,Tijuana
30.0,817.74,2023-08-08,30,Luis,Monterrey
31.0,926.57,2023-06-25,31,Miguel,Monterrey
77.0,865.86,2022-05-29,77,Miguel,Desconocida
49.0,188.33,2020-11-06,49,Carlos,CDMX
25.0,701.13,2020-08-26,25,Miguel,León
72.0,93.54,2021-07-10,72,Elena,Desconocida
21.0,505.03,2023-03-09,21,Ana,Tijuana
20.0,697.88,2022-02-14,20,Juan,Guadalajara
54.0,587.73,2021-04-20,54,Ana,Puebla
73.0,997.13,2021-08-01,73,Laura,Querétaro
36.0,317.38,2023-05-05,36,Laura,Desconocida
61.0,190.84,2020-09-13,61,Elena,Puebla
54.0,675.49,,54,Ana,Puebla
96.0,201.98,2020-10-23,96,Maria,Puebla
94.0,60.21,2022-11-06,94,Maria,CDMX
64.0,838.92,2020-11-21,64,Laura,Querétaro
58.0,882.04,2022-07-29,58,Pedro,Mérida
98.0,857.71,2022-03-10,98,Sofia,Tijuana
42.0,996.83,2021-01-06,42,Sin nombre,CDMX
73.0,624.59,2021-04-04,73,Laura,Querétaro
78.0,,2023-09-26,78,Carlos,CDMX
7.0,105.76,2021-08-16,7,Pedro,Tijuana
57.0,256.78,2023-02-04,57,Miguel,Monterrey
2.0,454.5,2022-02-22,2,Miguel,Puebla
83.0,47.47,2021-10-26,83,Carlos,Querétaro
100.0,928.17,2022-10-08,100,Elena,Querétaro
46.0,541.0,2020-10-29,46,Juan,Puebla
97.0,528.48,2021-06-11,97,Juan,Querétaro
93.0,324.49,2023-08-16,93,Sofia,León
84.0,984.39,2020-08-29,84,Laura,CDMX
21.0,356.69,2024-01-01,21,Ana,Tijuana
31.0,960.03,2022-03-01,31,Miguel,Monterrey
38.0,314.67,2022-08-11,38,Sofia,CDMX
25.0,6.63,2023-08-21,25,Miguel,León
78.0,708.45,2022-01-28,78,Carlos,CDMX
24.0,965.0,2020-10-18,24,Carlos,Desconocida
1.0,437.97,2020-12-14,1,Pedro,Puebla
48.0,862.7,2020-08-13,48,Miguel,León
10.0,436.87,2021-11-09,10,Pedro,Guadalajara
67.0,471.94,2020-02-08,67,Luis,Desconocida
25.0,434.77,2020-03-14,25,Miguel,León
3.0,15.58,2020-04-27,3,Elena,Monterrey
35.0,941.28,2023-01-08,35,Luis,Monterrey
51.0,31.06,2020-01-27,51,Laura,Desconocida
6.0,930.36,2020-08-28,6,Juan,Guadalajara
68.0,441.77,2021-03-09,68,Maria,CDMX
52.0,240.65,2023-09-26,52,Sin nombre,Guadalajara
13.0,119.8,2020-09-30,13,Juan,Desconocida
40.0,804.12,2023-01-30,40,Pedro,Monterrey
2.0,598.35,2020-10-30,2,Miguel,Puebla
46.0,917.11,,46,Juan,Puebla
41.0,666.66,2020-01-05,41,Luis,Querétaro
7.0,163.88,2022-04-02,7,Pedro,Tijuana
95.0,986.88,2021-01-27,95,Sofia,Guadalajara
9.0,263.65,2020-12-31,9,Ana,León
26.0,669.12,2021-09-07,26,Sin nombre,Querétaro
50.0,250.35,2021-02-08,50,Laura,Mérida
87.0,42.14,2020-01-01,87,Miguel,León
63.0,924.29,2023-09-29,63,Maria,Tijuana
100.0,793.95,2020-05-09,100,Elena,Querétaro
50.0,,2024-01-13,50,Laura,Mérida
51.0,776.47,2020-10-22,51,Laura,Desconocida
76.0,541.57,2022-02-03,76,Miguel,Guadalajara
81.0,770.99,2021-07-15,81,Sofia,Desconocida
18.0,894.93,,18,Sofia,León
21.0,618.69,2023-10-10,21,Ana,Tijuana
90.0,786.29,2023-07-12,90,Elena,CDMX
24.0,798.11,2020-01-31,24,Carlos,Desconocida
20.0,589.72,2021-09-20,20,Juan,Guadalajara
65.0,572.13,2020-02-06,65,Pedro,Querétaro
32.0,814.21,2022-07-05,32,Sin nombre,Tijuana
29.0,869.09,2023-12-25,29,Sofia,CDMX
61.0,698.05,2023-06-30,61,Elena,Puebla
90.0,280.83,2021-04-10,90,Elena,CDMX
38.0,261.2,2022-07-20,38,Sofia,CDMX
45.0,834.08,2023-07-12,45,Sin nombre,Querétaro
81.0,627.43,2022-08-29,81,Sofia,Desconocida
66.0,635.32,,66,Luis,Desconocida
80.0,942.88,2023-03-06,80,Luis,Monterrey
22.0,188.7,2022-07-15,22,Ana,CDMX
4.0,132.9,2020-10-23,4,Maria,Guadalajara
3.0,869.06,2021-01-22,3,Elena,Monterrey
9.0,341.65,2022-11-18,9,Ana,León
26.0,575.27,2022-07-09,26,Sin nombre,Querétaro
49.0,629.83,2022-08-05,49,Carlos,CDMX
8.0,772.74,2024-01-06,8,Luis,Mérida
62.0,899.22,2022-03-28,62,Carlos,Mérida
27.0,109.07,,27,Luis,Monterrey
48.0,887.48,2022-08-05,48,Miguel,León
2.0,605.87,2021-07-14,2,Miguel,Puebla
65.0,880.61,2023-10-30,65,Pedro,Querétaro
80.0,658.59,2021-07-29,80,Luis,Monterrey
37.0,452.0,2021-04-20,37,Sin nombre,CDMX
96.0,310.97,2021-04-01,96,Maria,Puebla
99.0,916.53,2022-05-16,99,Maria,Tijuana
73.0,589.87,2022-10-11,73,Laura,Querétaro
55.0,177.84,2022-02-14,55,Sin nombre,Querétaro
23.0,547.05,2021-08-30,23,Juan,Mérida
77.0,,2022-04-24,77,Miguel,Desconocida
27.0,910.02,2023-10-29,27,Luis,Monterrey
51.0,284.44,2023-05-22,51,Laura,Desconocida
11.0,654.97,2021-11-21,11,Sin nombre,Monterrey
86.0,84.27,2023-10-02,86,Laura,Puebla
61.0,284.37,2023-11-27,61,Elena,Puebla
52.0,213.0,2021-09-17,52,Sin nombre,Guadalajara
1.0,378.63,2020-07-16,1,Pedro,Puebla
9.0,525.29,2020-09-14,9,Ana,León
53.0,487.68,2022-02-11,53,Juan,Querétaro
40.0,,2020-12-19,40,Pedro,Monterrey
42.0,848.4,2021-05-31,42,Sin nombre,CDMX
91.0,164.6,2023-11-25,91,Juan,Desconocida
56.0,43.57,2023-05-03,56,Laura,Guadalajara
5.0,480.41,2023-02-03,5,Sofia,Mérida
94.0,9.09,2022-12-16,94,Maria,CDMX
61.0,961.07,2023-06-13,61,Elena,Puebla
31.0,296.72,2023-07-19,31,Miguel,Monterrey
75.0,376.42,2021-11-03,75,Pedro,León
14.0,469.1,2022-12-25,14,Ana,Tijuana
58.0,471.97,2023-02-02,58,Pedro,Mérida
5.0,137.09,2020-09-18,5,Sofia,Mérida
8.0,882.57,2020-05-02,8,Luis,Mérida
61.0,852.76,2022-12-05,61,Elena,Puebla
88.0,204.55,2020-01-19,88,Pedro,Tijuana
40.0,391.39,2023-08-16,40,Pedro,Monterrey
25.0,659.36,2021-06-07,25,Miguel,León
70.0,4.45,2023-07-12,70,Laura,Mérida
28.0,565.12,2020-12-09,28,Laura,Tijuana
27.0,34.72,2021-01-02,27,Luis,Monterrey
35.0,353.55,2022-07-04,35,Luis,Monterrey
42.0,338.81,2022-12-28,42,Sin nombre,CDMX
79.0,332.27,2021-01-28,79,Elena,Tijuana
100.0,608.58,2022-05-14,100,Elena,Querétaro
48.0,835.26,2022-06-12,48,Miguel,León
81.0,921.15,2021-01-28,81,Sofia,Desconocida
69.0,721.29,2022-02-02,69,Laura,León
18.0,814.49,2023-07-24,18,Sofia,León
15.0,944.51,2022-08-23,15,Sin nombre,Guadalajara
74.0,86.66,2020-04-17,74,Ana,Desconocida
59.0,423.6,2023-04-22,59,Miguel,Monterrey
49.0,965.3,2024-01-06,49,Carlos,CDMX
89.0,970.77,2022-01-23,89,Pedro,Puebla
81.0,,2023-04-27,81,Sofia,Desconocida
100.0,561.57,2023-01-26,100,Elena,Querétaro
16.0,191.57,2021-01-18,16,Ana,Monterrey
14.0,320.94,2023-07-06,14,Ana,Tijuana
36.0,0.76,2023-06-19,36,Laura,Desconocida
3.0,836.6,2022-11-03,3,Elena,Monterrey
62.0,512.15,2020-09-11,62,Carlos,Mérida
10.0,194.01,2023-05-30,10,Pedro,Guadalajara
3.0,67.85,2020-02-20,3,Elena,Monterrey
3.0,157.55,2023-03-10,3,Elena,Monterrey
34.0,,2021-11-18,34,Sin nombre,CDMX
12.0,105.91,2023-12-04,12,Luis,León
20.0,200.42,2020-01-13,20,Juan,Guadalajara
36.0,660.13,2021-06-12,36,Laura,Desconocida
75.0,58.84,2021-07-21,75,Pedro,León
67.0,191.83,2022-10-12,67,Luis,Desconocida
14.0,446.82,2021-03-06,14,Ana,Tijuana
44.0,679.62,2024-02-06,44,Elena,León
85.0,124.13,,85,Elena,Desconocida
59.0,894.06,2023-01-15,59,Miguel,Monterrey
3.0,826.99,2021-12-19,3,Elena,Monterrey
67.0,301.53,2023-02-04,67,Luis,Desconocida
61.0,624.03,2021-11-12,61,Elena,Puebla
2.0,258.56,2023-01-26,2,Miguel,Puebla
88.0,922.97,2022-08-31,88,Pedro,Tijuana
3.0,675.13,2022-05-23,3,Elena,Monterrey
99.0,519.64,2024-01-19,99,Maria,Tijuana
7.0,439.6,2022-12-27,7,Pedro,Tijuana
87.0,903.65,2021-07-18,87,Miguel,León
3.0,61.35,,3,Elena,Monterrey
68.0,628.77,2023-06-27,68,Maria,CDMX
47.0,212.88,2023-07-02,47,Carlos,Puebla
28.0,,2022-07-18,28,Laura,Tijuana
6.0,423.21,2022-05-01,6,Juan,Guadalajara
98.0,439.2,2022-04-18,98,Sofia,Tijuana
67.0,631.71,2020-01-08,67,Luis,Desconocida
41.0,658.66,2023-07-23,41,Luis,Querétaro
54.0,348.74,2023-05-14,54,Ana,Puebla
44.0,925.47,2022-09-03,44,Elena,León
4.0,830.94,2021-11-23,4,Maria,Guadalajara
30.0,492.63,,30,Luis,Monterrey
33.0,833.61,2023-11-07,33,Sin nombre,Monterrey
31.0,405.22,2023-10-30,31,Miguel,Monterrey
7.0,847.16,2022-02-04,7,Pedro,Tijuana
7.0,697.09,2022-08-09,7,Pedro,Tijuana
79.0,173.51,2021-01-03,79,Elena,Tijuana
12.0,896.33,2020-02-16,12,Luis,León
53.0,631.95,2021-04-13,53,Juan,Querétaro
26.0,952.85,2023-06-24,26,Sin nombre,Querétaro
20.0,687.89,2021-04-17,20,Juan,Guadalajara
80.0,318.13,2023-07-22,80,Luis,Monterrey
68.0,399.2,2022-03-16,68,Maria,CDMX
61.0,662.41,2020-07-31,61,Elena,Puebla
62.0,498.1,2023-12-11,62,Carlos,Mérida
77.0,859.89,,77,Miguel,Desconocida
32.0,844.43,2020-12-18,32,Sin nombre,Tijuana
87.0,279.02,2022-03-15,87,Miguel,León
69.0,97.2,2022-12-22,69,Laura,León
93.0,107.05,2022-12-26,93,Sofia,León
85.0,599.39,2023-01-18,85,Elena,Desconocida
71.0,691.58,2023-04-25,71,Pedro,CDMX
11.0,825.27,2022-11-01,11,Sin nombre,Monterrey
70.0,975.58,2021-03-07,70,Laura,Mérida
69.0,430.0,2020-01-05,69,Laura,León
20.0,608.18,2023-06-02,20,Juan,Guadalajara
35.0,6.7,2020-03-14,35,Luis,Monterrey
29.0,435.75,2023-02-03,29,Sofia,CDMX
39.0,517.16,2021-07-10,39,Maria,Tijuana
40.0,257.14,,40,Pedro,Monterrey
40.0,436.94,2022-12-30,40,Pedro,Monterrey
94.0,,2020-03-04,94,Maria,CDMX
77.0,214.53,2020-09-01,77,Miguel,Desconocida
18.0,780.79,2021-03-19,18,Sofia,León
59.0,508.64,2021-07-14,59,Miguel,Monterrey
53.0,647.43,2022-04-17,53,Juan,Querétaro
79.0,,2023-12-03,79,Elena,Tijuana
88.0,975.3,2022-10-19,88,Pedro,Tijuana
18.0,171.06,,18,Sofia,León
31.0,388.82,2022-09-26,31,Miguel,Monterrey
17.0,177.64,2023-07-28,17,Carlos,Puebla
94.0,852.28,2023-05-11,94,Maria,CDMX
87.0,63.09,2021-09-22,87,Miguel,León
42.0,54.08,2021-04-19,42,Sin nombre,CDMX
53.0,207.27,2020-09-18,53,Juan,Querétaro
45.0,905.38,2020-10-09,45,Sin nombre,Querétaro
43.0,445.35,2022-06-28,43,Elena,Tijuana
51.0,171.21,2022-11-06,51,Laura,Desconocida
64.0,860.13,,64,Laura,Querétaro
94.0,420.26,2022-05-06,94,Maria,CDMX
7.0,128.19,,7,Pedro,Tijuana
5.0,459.19,2021-04-24,5,Sofia,Mérida
94.0,975.07,2020-04-15,94,Maria,CDMX
57.0,23.8,2021-08-29,57,Miguel,Monterrey
47.0,238.11,2021-04-24,47,Carlos,Puebla
93.0,693.27,2023-06-30,93,Sofia,León
93.0,894.16,2022-10-10,93,Sofia,León
80.0,944.45,2023-05-25,80,Luis,Monterrey
22.0,638.26,2020-10-17,22,Ana,CDMX
93.0,921.23,2020-07-24,93,Sofia,León
32.0,807.14,2021-12-10,32,Sin nombre,Tijuana
73.0,534.94,2022-08-03,73,Laura,Querétaro
16.0,311.57,2022-01-30,16,Ana,Monterrey
84.0,258.78,2021-09-24,84,Laura,CDMX
68.0,76.45,2021-06-19,68,Maria,CDMX
10.0,521.92,2020-05-23,10,Pedro,Guadalajara
12.0,355.55,2022-11-25,12,Luis,León
23.0,833.51,2023-07-01,23,Juan,Mérida
69.0,257.24,2023-02-23,69,Laura,León
25.0,793.06,2023-06-23,25,Miguel,León
94.0,215.63,2022-09-03,94,Maria,CDMX
43.0,230.59,2022-04-04,43,Elena,Tijuana
95.0,709.15,2023-12-31,95,Sofia,Guadalajara
13.0,530.62,2024-01-31,13,Juan,Desconocida
13.0,368.47,2023-09-14,13,Juan,Desconocida
82.0,462.27,2021-08-28,82,Juan,Desconocida
51.0,960.01,2022-11-11,51,Laura,Desconocida
61.0,236.04,2020-02-18,61,Elena,Puebla
50.0,69.04,2023-08-09,50,Laura,Mérida
6.0,69.08,2023-07-06,6,Juan,Guadalajara
15.0,380.85,,15,Sin nombre,Guadalajara
71.0,167.65,2023-07-25,71,Pedro,CDMX
98.0,754.25,2022-03-17,98,Sofia,Tijuana
95.0,588.44,2022-08-10,95,Sofia,Guadalajara
77.0,822.81,2023-01-26,77,Miguel,Desconocida
85.0,492.57,2023-03-31,85,Elena,Desconocida
59.0,936.78,2022-04-27,59,Miguel,Monterrey
31.0,723.96,2020-01-05,31,Miguel,Monterrey
55.0,319.49,2020-09-09,55,Sin nombre,Querétaro
33.0,714.86,2022-08-03,33,Sin nombre,Monterrey
55.0,612.76,2023-03-01,55,Sin nombre,Querétaro
13.0,437.92,2020-10-22,13,Juan,Desconocida
80.0,364.37,2023-02-04,80,Luis,Monterrey
5.0,72.45,2023-12-26,5,Sofia,Mérida
79.0,162.73,2020-02-24,79,Elena,Tijuana
23.0,860.8,2021-07-13,23,Juan,Mérida
34.0,,,34,Sin nombre,CDMX
66.0,345.57,2022-09-22,66,Luis,Desconocida
51.0,570.24,2021-04-15,51,Laura,Desconocida
83.0,839.87,2022-03-19,83,Carlos,Querétaro
69.0,,2022-04-11,69,Laura,León
21.0,831.18,2024-01-14,21,Ana,Tijuana
21.0,976.39,2023-01-13,21,Ana,Tijuana
26.0,251.58,2021-11-16,26,Sin nombre,Querétaro
42.0,753.61,2022-06-09,42,Sin nombre,CDMX
50.0,26.83,2020-04-18,50,Laura,Mérida
14.0,857.04,2020-05-24,14,Ana,Tijuana
12.0,246.94,2022-11-03,12,Luis,León
93.0,314.41,2022-09-24,93,Sofia,León
81.0,224.71,2020-04-08,81,Sofia,Desconocida
24.0,786.62,,24,Carlos,Desconocida
22.0,692.19,2020-11-04,22,Ana,CDMX
69.0,141.35,2022-03-06,69,Laura,León
80.0,392.78,2021-02-24,80,Luis,Monterrey
80.0,532.6,2024-01-21,80,Luis,Monterrey
98.0,546.64,2022-09-07,98,Sofia,Tijuana
51.0,,2021-10-21,51,Laura,Desconocida
94.0,776.29,2021-06-09,94,Maria,CDMX
67.0,574.87,2023-09-02,67,Luis,Desconocida
81.0,219.28,2023-11-07,81,Sofia,Desconocida
84.0,464.1,2021-03-05,84,Laura,CDMX
26.0,314.01,2022-09-03,26,Sin nombre,Querétaro
54.0,384.3,2021-11-06,54,Ana,Puebla
11.0,876.2,2023-01-04,11,Sin nombre,Monterrey
5.0,182.3,2020-05-21,5,Sofia,Mérida
16.0,105.35,2022-06-20,16,Ana,Monterrey
48.0,628.54,2022-09-17,48,Miguel,León
89.0,925.08,2022-05-30,89,Pedro,Puebla
83.0,347.46,2020-10-25,83,Carlos,Querétaro
66.0,590.17,,66,Luis,Desconocida
68.0,582.09,2024-02-05,68,Maria,CDMX
72.0,667.82,2020-12-02,72,Elena,Desconocida
25.0,675.33,2022-07-02,25,Miguel,León
49.0,815.04,2020-05-04,49,Carlos,CDMX
25.0,914.3,2020-09-01,25,Miguel,León
87.0,999.08,2020-10-01,87,Miguel,León
49.0,617.06,2021-05-18,49,Carlos,CDMX
82.0,542.89,2023-11-16,82,Juan,Desconocida
5.0,327.02,2023-05-22,5,Sofia,Mérida
74.0,526.68,2021-08-19,74,Ana,Desconocida
82.0,941.99,2022-03-29,82,Juan,Desconocida
89.0,899.37,2020-07-08,89,Pedro,Puebla
31.0,705.43,2022-08-11,31,Miguel,Monterrey
73.0,37.09,2020-10-10,73,Laura,Querétaro
26.0,83.13,2021-04-16,26,Sin nombre,Querétaro
23.0,503.96,2022-02-21,23,Juan,Mérida
39.0,529.6,,39,Maria,Tijuana
6.0,721.13,2020-09-05,6,Juan,Guadalajara
66.0,912.58,2021-11-27,66,Luis,Desconocida
62.0,506.09,2020-04-29,62,Carlos,Mérida
96.0,389.42,2023-05-20,96,Maria,Puebla
15.0,316.15,2022-12-07,15,Sin nombre,Guadalajara
73.0,412.18,2021-02-15,73,Laura,Querétaro
51.0,194.01,2020-06-10,51,Laura,Desconocida
30.0,704.96,2022-11-26,30,Luis,Monterrey
93.0,972.46,2020-06-17,93,Sofia,León
38.0,157.76,2022-06-23,38,Sofia,CDMX
4.0,248.05,2021-08-13,4,Maria,Guadalajara
25.0,85.71,2021-10-17,25,Miguel,León
53.0,95.45,2020-04-06,53,Juan,Querétaro
36.0,,2023-09-29,36,Laura,Desconocida
81.0,43.12,2022-06-12,81,Sofia,Desconocida
94.0,413.45,2021-10-13,94,Maria,CDMX
54.0,294.13,2023-02-05,54,Ana,Puebla
69.0,136.43,2021-12-07,69,Laura,León
72.0,393.28,2020-01-24,72,Elena,Desconocida
76.0,271.83,2021-05-21,76,Miguel,Guadalajara
97.0,357.99,2020-05-11,97,Juan,Querétaro
45.0,647.73,2021-04-10,45,Sin nombre,Querétaro
7.0,491.04,,7,Pedro,Tijuana
49.0,959.81,2023-05-24,49,Carlos,CDMX
7.0,789.72,2021-09-26,7,Pedro,Tijuana
93.0,849.13,2023-03-01,93,Sofia,León
99.0,865.83,2022-03-31,99,Maria,Tijuana
61.0,517.36,2021-09-07,61,Elena,Puebla
15.0,0.61,2023-01-07,15,Sin nombre,Guadalajara
97.0,723.16,2020-03-19,97,Juan,Querétaro
49.0,757.79,2020-02-09,49,Carlos,CDMX
69.0,752.01,2020-07-20,69,Laura,León
79.0,795.63,2020-01-13,79,Elena,Tijuana
86.0,712.66,2023-05-28,86,Laura,Puebla
34.0,853.53,2020-12-06,34,Sin nombre,CDMX
64.0,980.18,2023-10-23,64,Laura,Querétaro
81.0,15.3,2020-01-18,81,Sofia,Desconocida
9.0,565.22,2023-11-21,9,Ana,León
91.0,720.06,2022-02-08,91,Juan,Desconocida
27.0,459.1,2021-04-22,27,Luis,Monterrey
92.0,513.65,2022-03-02,92,Elena,Monterrey
41.0,970.01,2023-03-05,41,Luis,Querétaro
96.0,254.29,2020-11-03,96,Maria,Puebla
61.0,567.35,2021-07-16,61,Elena,Puebla
2.0,0.33,2023-05-27,2,Miguel,Puebla
50.0,600.92,2020-01-07,50,Laura,Mérida
68.0,727.78,2023-03-17,68,Maria,CDMX
29.0,451.71,2024-01-19,29,Sofia,CDMX
68.0,23.63,2021-05-20,68,Maria,CDMX
20.0,,2021-01-15,20,Juan,Guadalajara
33.0,971.82,2022-01-24,33,Sin nombre,Monterrey
81.0,762.72,2021-01-10,81,Sofia,Desconocida
90.0,744.98,2020-06-02,90,Elena,CDMX
24.0,601.75,2021-03-12,24,Carlos,Desconocida
12.0,602.99,2021-08-28,12,Luis,León
24.0,910.74,2020-08-16,24,Carlos,Desconocida
71.0,949.31,2022-12-25,71,Pedro,CDMX
26.0,394.72,2020-09-01,26,Sin nombre,Querétaro
55.0,814.87,2022-07-08,55,Sin nombre,Querétaro
32.0,411.87,2020-01-26,32,Sin nombre,Tijuana
63.0,669.09,,63,Maria,Tijuana
49.0,8.47,2023-04-03,49,Carlos,CDMX
99.0,556.24,2022-12-09,99,Maria,Tijuana
59.0,739.18,2023-01-28,59,Miguel,Monterrey
59.0,347.32,2021-06-02,59,Miguel,Monterrey
44.0,245.97,2022-12-08,44,Elena,León
38.0,713.34,2020-09-06,38,Sofia,CDMX
75.0,572.98,2020-11-28,75,Pedro,León
6.0,106.42,2022-01-19,6,Juan,Guadalajara
54.0,638.94,2021-05-23,54,Ana,Puebla
70.0,108.46,2023-05-25,70,Laura,Mérida
74.0,488.97,2022-11-03,74,Ana,Desconocida
75.0,955.43,2021-10-14,75,Pedro,León
67.0,691.87,2020-09-18,67,Luis,Desconocida
9.0,96.31,2020-03-01,9,Ana,León
91.0,807.6,2020-11-10,91,Juan,Desconocida
73.0,804.75,,73,Laura,Querétaro
89.0,,2020-10-23,89,Pedro,Puebla
56.0,772.52,2022-10-15,56,Laura,Guadalajara
96.0,983.23,2020-06-13,96,Maria,Puebla
24.0,416.16,2023-05-18,24,Carlos,Desconocida
88.0,182.01,2022-06-25,88,Pedro,Tijuana
85.0,658.29,2023-08-15,85,Elena,Desconocida
83.0,,2023-10-27,83,Carlos,Querétaro
13.0,,2021-07-03,13,Juan,Desconocida
49.0,958.18,2023-05-15,49,Carlos,CDMX
97.0,936.08,2020-06-10,97,Juan,Querétaro
63.0,864.76,2023-05-21,63,Maria,Tijuana
89.0,363.57,2023-12-07,89,Pedro,Puebla
92.0,832.57,2022-04-10,92,Elena,Monterrey
3.0,431.33,2020-01-01,3,Elena,Monterrey
100.0,526.87,2020-02-12,100,Elena,Querétaro
80.0,788.99,2023-07-22,80,Luis,Monterrey
35.0,845.32,2023-10-07,35,Luis,Monterrey
82.0,220.41,2023-07-11,82,Juan,Desconocida
33.0,480.92,2020-10-23,33,Sin nombre,Monterrey
43.0,266.55,2021-01-16,43,Elena,Tijuana
44.0,960.57,2021-05-29,44,Elena,León
88.0,455.58,2023-05-15,88,Pedro,Tijuana
49.0,832.8,2021-11-18,49,Carlos,CDMX
21.0,849.73,2021-01-29,21,Ana,Tijuana
36.0,289.79,2021-06-12,36,Laura,Desconocida
10.0,547.45,2022-05-29,10,Pedro,Guadalajara
22.0,862.38,2021-09-27,22,Ana,CDMX
29.0,582.47,2022-02-07,29,Sofia,CDMX
58.0,295.42,2021-09-17,58,Pedro,Mérida
27.0,197.75,2021-09-11,27,Luis,Monterrey
7.0,536.75,2022-06-26,7,Pedro,Tijuana
66.0,62.8,2021-02-08,66,Luis,Desconocida
57.0,232.05,2021-06-23,57,Miguel,Monterrey
75.0,833.05,2020-09-03,75,Pedro,León
63.0,376.05,2022-03-05,63,Maria,Tijuana
68.0,148.99,2022-12-04,68,Maria,CDMX
